Cycle,Phase,RB,Rep01,Rep02,Rep03,Rep04,Rep05,Rep06,Rep07,Rep08,Rep09,Rep10,Rep11,Rep12,Rep13,Rep14,Rep15,Rep16,Rep17,Rep18,Rep19,Rep20,Rep21,Min,Mean,Median,Max,StdDev,StdError
c5,p6,rb01,13,13,13,12,12,,,,,,,,,,,,,,,,,12.0,12.6,13.0,13.0,0.5477225575051662,0.11952286093343939
c5,p7,rb01,13,14,14,14,15,,,,,,,,,,,,,,,,,13.0,14.0,14.0,15.0,0.7071067811865476,0.15430334996209194
c5,p8,rb01,12,13,13,14,13,,,,,,,,,,,,,,,,,12.0,13.0,13.0,14.0,0.7071067811865476,0.15430334996209194
c5,p9,rb01,14,13,12,13,14,,,,,,,,,,,,,,,,,12.0,13.2,13.0,14.0,0.8366600265340756,0.18257418583505539
c6,p1,rb01,12,9,11,9,10,,,,,,,,,,,,,,,,,9.0,10.2,10.0,12.0,1.3038404810405297,0.2845213189769458
c6,p2,rb01,11,12,11,10,11,,,,,,,,,,,,,,,,,10.0,11.0,11.0,12.0,0.7071067811865476,0.15430334996209194
c6,p3,rb01,13,14,14,14,14,,,,,,,,,,,,,,,,,13.0,13.8,14.0,14.0,0.4472135954999579,0.09759000729485331
c6,p4,rb01,10,8,8,6,11,,,,,,,,,,,,,,,,,6.0,8.6,8.0,11.0,1.9493588689617927,0.42538497969766276
c6,p5,rb01,14,14,15,15,15,,,,,,,,,,,,,,,,,14.0,14.6,15.0,15.0,0.5477225575051662,0.11952286093343939
c6,p6,rb01,13,12,11,13,13,,,,,,,,,,,,,,,,,11.0,12.4,13.0,13.0,0.8944271909999159,0.19518001458970663
c6,p7,rb01,10,13,11,12,11,,,,,,,,,,,,,,,,,10.0,11.4,11.0,13.0,1.1401754250991378,0.24880667576405963
c6,p8,rb01,14,13,13,13,14,,,,,,,,,,,,,,,,,13.0,13.4,13.0,14.0,0.5477225575051662,0.11952286093343939
c6,p9,rb01,12,13,13,13,13,,,,,,,,,,,,,,,,,12.0,12.8,13.0,13.0,0.4472135954999579,0.09759000729485331
c7,p1,rb01,12,14,14,13,14,,,,,,,,,,,,,,,,,12.0,13.4,14.0,14.0,0.8944271909999159,0.19518001458970663
c7,p2,rb01,15,14,13,14,11,14.0,,,,,,,,,,,,,,,,11.0,13.5,14.0,15.0,1.378404875209022,0.30079260375911915
c7,p3,rb01,13,14,15,15,14,,,,,,,,,,,,,,,,,13.0,14.2,14.0,15.0,0.8366600265340756,0.18257418583505539
c7,p4,rb01,15,14,14,14,15,,,,,,,,,,,,,,,,,14.0,14.4,14.0,15.0,0.5477225575051662,0.11952286093343939
c7,p5,rb01,15,15,16,7,8,,,,,,,,,,,,,,,,,7.0,12.2,15.0,16.0,4.324349662087931,0.9436504599035549
c7,p6,rb01,7,7,7,7,6,,,,,,,,,,,,,,,,,6.0,6.8,7.0,7.0,0.4472135954999579,0.09759000729485331
c7,p7,rb01,7,7,8,6,6,,,,,,,,,,,,,,,,,6.0,6.8,7.0,8.0,0.8366600265340756,0.18257418583505539
c7,p8,rb01,7,8,7,6,7,,,,,,,,,,,,,,,,,6.0,7.0,7.0,8.0,0.7071067811865476,0.15430334996209194
c7,p9,rb01,7,7,6,7,6,,,,,,,,,,,,,,,,,6.0,6.6,7.0,7.0,0.5477225575051662,0.11952286093343939
